lbd;x;re;im
380;0.0010326;0.01981;-0.025302
381;9.2411E-4;0.01784;-0.024614
382;8.2386E-4;0.015888;-0.023905
383;7.3178E-4;0.013953;-0.023175
384;6.4779E-4;0.012035;-0.022427
385;5.718E-4;0.010134;-0.021659
386;5.0371E-4;0.0082507;-0.020872
387;4.4345E-4;0.006384;-0.020067
388;3.9093E-4;0.004534;-0.019245
389;3.4607E-4;0.0027008;-0.018406
390;3.0878E-4;8.8415E-4;-0.01755
391;2.7898E-4;-9.1603E-4;-0.016678
392;2.5661E-4;-0.0026998;-0.01579
393;2.4157E-4;-0.0044674;-0.014887
394;2.3379E-4;-0.0062189;-0.013968
395;2.332E-4;-0.0079543;-0.013036
396;2.3973E-4;-0.0096739;-0.012089
397;2.5329E-4;-0.011378;-0.011128
398;2.7383E-4;-0.013066;-0.010154
399;3.0126E-4;-0.014739;-0.0091673
400;3.3553E-4;-0.016396;-0.0081676
401;3.7656E-4;-0.018038;-0.0071554
402;4.2429E-4;-0.019665;-0.0061312
403;4.7866E-4;-0.021277;-0.0050953
404;5.3959E-4;-0.022874;-0.0040478
405;6.0702E-4;-0.024456;-0.0029892
406;6.809E-4;-0.026023;-0.0019197
407;7.6116E-4;-0.027576;-8.3963E-4
408;8.4775E-4;-0.029115;2.5083E-4
409;9.4061E-4;-0.03064;0.0013514
410;0.0010397;-0.03215;0.0024618
411;0.0011449;-0.033646;0.0035818
412;0.0012562;-0.035128;0.0047112
413;0.0013736;-0.036597;0.0058497
414;0.0014969;-0.038052;0.0069971
415;0.0016262;-0.039493;0.0081533
416;0.0017614;-0.040921;0.0093179
417;0.0019024;-0.042336;0.010491
418;0.0020492;-0.043737;0.011672
419;0.0022017;-0.045126;0.012861
420;0.0023599;-0.046501;0.014057
421;0.0025238;-0.047863;0.015262
422;0.0026933;-0.049213;0.016473
423;0.0028684;-0.05055;0.017692
424;0.0030489;-0.051875;0.018918
425;0.0032349;-0.053187;0.02015
426;0.0034264;-0.054487;0.02139
427;0.0036232;-0.055775;0.022636
428;0.0038254;-0.057051;0.023888
429;0.0040329;-0.058314;0.025147
430;0.0042457;-0.059566;0.026412
431;0.0044637;-0.060806;0.027682
432;0.0046868;-0.062034;0.028959
433;0.0049152;-0.063251;0.030242
434;0.0051486;-0.064456;0.03153
435;0.0053872;-0.065649;0.032823
436;0.0056308;-0.066832;0.034122
437;0.0058794;-0.068003;0.035426
438;0.006133;-0.069163;0.036736
439;0.0063915;-0.070312;0.03805
440;0.006655;-0.07145;0.039369
441;0.0069234;-0.072577;0.040694
442;0.0071966;-0.073693;0.042023
443;0.0074746;-0.074799;0.043356
444;0.0077574;-0.075894;0.044694
445;0.008045;-0.076978;0.046037
446;0.0083373;-0.078052;0.047384
447;0.0086344;-0.079115;0.048735
448;0.0089361;-0.080169;0.050091
449;0.0092425;-0.081212;0.05145
450;0.0095535;-0.082245;0.052814
451;0.0095015;-0.081741;0.053103
452;0.0094463;-0.081227;0.053372
453;0.0093878;-0.080702;0.053619
454;0.0093261;-0.080168;0.053845
455;0.009261;-0.079622;0.05405
456;0.0091925;-0.079064;0.054234
457;0.0091205;-0.078495;0.054397
458;0.0090451;-0.077914;0.054539
459;0.0089661;-0.077319;0.054661
460;0.0088836;-0.076712;0.054762
461;0.0087974;-0.07609;0.054842
462;0.0087076;-0.075454;0.054902
463;0.0086141;-0.074804;0.054941
464;0.008517;-0.074138;0.05496
465;0.008416;-0.073455;0.054958
466;0.0083113;-0.072756;0.054935
467;0.0082028;-0.07204;0.054891
468;0.0080905;-0.071306;0.054828
469;0.0079744;-0.070552;0.054743
470;0.0078544;-0.069779;0.054638
471;0.0077306;-0.068986;0.054511
472;0.0076029;-0.068172;0.054364
473;0.0074714;-0.067336;0.054197
474;0.007336;-0.066477;0.054008
475;0.0071968;-0.065594;0.053798
476;0.0070538;-0.064687;0.053567
477;0.006907;-0.063754;0.053314
478;0.0067564;-0.062795;0.05304
479;0.0066022;-0.061807;0.052745
480;0.0064443;-0.060791;0.052428
481;0.0062828;-0.059746;0.052089
482;0.0061178;-0.058669;0.051728
483;0.0059494;-0.05756;0.051345
484;0.0057777;-0.056417;0.050939
485;0.0056028;-0.05524;0.050511
486;0.0054249;-0.054026;0.05006
487;0.005244;-0.052775;0.049586
488;0.0050605;-0.051485;0.049089
489;0.0048744;-0.050155;0.048568
490;0.004686;-0.048782;0.048024
491;0.0044955;-0.047365;0.047455
492;0.0043032;-0.045903;0.046863
493;0.0041095;-0.044394;0.046245
494;0.0039145;-0.042836;0.045603
495;0.0037188;-0.041227;0.044935
496;0.0035227;-0.039564;0.044242
497;0.0033266;-0.037847;0.043523
498;0.0031311;-0.036073;0.042777
499;0.0029367;-0.034238;0.042005
500;0.002744;-0.032343;0.041206
501;0.0025029;-0.032603;0.037947
502;0.0022782;-0.032928;0.034553
503;0.002073;-0.033325;0.031022
504;0.0018905;-0.0338;0.027351
505;0.0017345;-0.034359;0.023536
506;0.0016088;-0.035009;0.019575
507;0.0015177;-0.035756;0.015465
508;0.0014658;-0.036609;0.011204
509;0.0014581;-0.037576;0.0067892
510;0.0014999;-0.038665;0.0022181
511;0.0015971;-0.039885;-0.002511
512;0.0017558;-0.041244;-0.0073998
513;0.0019828;-0.042753;-0.01245
514;0.0022852;-0.044422;-0.017662
515;0.0026708;-0.046261;-0.023037
516;0.0031476;-0.048282;-0.028575
517;0.0037246;-0.050495;-0.034276
518;0.004411;-0.052913;-0.04014
519;0.0052168;-0.055548;-0.046165
520;0.0061527;-0.058413;-0.05235
521;0.0072297;-0.061522;-0.058692
522;0.0084598;-0.064887;-0.065188
523;0.0098556;-0.068522;-0.071835
524;0.01143;-0.072444;-0.078628
525;0.013198;-0.076665;-0.085561
526;0.015173;-0.081201;-0.092628
527;0.017372;-0.086068;-0.099821
528;0.01981;-0.091281;-0.10713
529;0.022504;-0.096855;-0.11455
530;0.025471;-0.10281;-0.12207
531;0.028731;-0.10915;-0.12968
532;0.032302;-0.11591;-0.13736
533;0.036204;-0.12309;-0.1451
534;0.040457;-0.13071;-0.15288
535;0.045082;-0.13878;-0.16069
536;0.0501;-0.14733;-0.1685
537;0.055533;-0.15636;-0.17631
538;0.061404;-0.16589;-0.18408
539;0.067735;-0.17593;-0.19179
540;0.074549;-0.1865;-0.19942
541;0.081869;-0.19759;-0.20694
542;0.089717;-0.20924;-0.21433
543;0.098116;-0.22143;-0.22155
544;0.10709;-0.23418;-0.22858
545;0.11666;-0.24749;-0.23538
546;0.12684;-0.26137;-0.24193
547;0.13767;-0.27581;-0.24818
548;0.14915;-0.29082;-0.2541
549;0.1613;-0.30639;-0.25966
550;0.17415;-0.32252;-0.26482
551;0.18238;-0.33823;-0.26072
552;0.19078;-0.35384;-0.25608
553;0.19935;-0.36932;-0.2509
554;0.20808;-0.38466;-0.24519
555;0.21696;-0.39982;-0.23896
556;0.22599;-0.4148;-0.23223
557;0.23515;-0.42957;-0.225
558;0.24444;-0.4441;-0.21729
559;0.25385;-0.45839;-0.20911
560;0.26337;-0.47242;-0.20049
